"RSV_ID","SKU_ID","DC_ID","GID_MKT_CD","RSV_QTY","LST_UPDT_DTTM","LST_UPDT_USER_ID","ORDER_NO","XPCT_SHP_DT"
"201808241445393075530","2840390120002","5145",US,1,2018-08-24 14:45:39,ECOM,,
"201808241414575583740","2873920123000","3290",US,1,2018-08-24 14:14:57,ECOM,,
"201808241455006974440","7570530320016","3996",US,1,2018-08-24 14:55:00,ECOM,,
"201808241443484248590","7713970020001","5339",US,1,2018-08-24 14:43:48,ECOM,,
"201808241420241787860","2842680320003","5800",US,1,2018-08-24 14:20:24,ECOM,,
"201808241426038335690","2838210020003","5267",US,1,2018-08-24 14:26:03,ECOM,,
"201808241444470381890","2855150020003","4513",US,1,2018-08-24 14:44:47,ECOM,,
"201808241427074392270","1347461321402","6049",US,1,2018-08-24 14:27:07,ECOM,,
"201808241441029471530","1456490020006","5373",US,1,2018-08-24 14:41:02,ECOM,,
"201808181859586958970","1397780020002","5641",US,5,2018-08-18 19:15:03,ordervalidate,TK8D1Y7,
"201808241428460066420","7731440020004","3319",US,1,2018-08-24 14:28:46,ECOM,,
"201808241446156093880","2899730120004","5466",US,1,2018-08-24 14:46:15,ECOM,,
"201808190957522726630","2893050420002","5641",US,2,2018-08-19 10:00:42,ordervalidate,TK89QQS,
"201808191007527700240","2953604220003","5641",US,1,2018-08-19 10:22:57,ordervalidate,TK89LNN,
"201808241057092911810","2058040720003","5688",US,1,2018-08-24 11:14:58,ordervalidate,TK6RT8D,
"201808190843305828300","2057290023632","5887",US,1,2018-08-19 08:56:58,ordervalidate,TK8V5NV,
"201808241419437597040","2181621820003","5806",US,1,2018-08-24 14:19:43,ECOM,,
"201808241454548113120","2020640820001","5779",US,1,2018-08-24 14:54:54,ECOM,,
"201808190824204348590","2953541420001","5368",US,2,2018-08-19 08:27:31,ordervalidate,TK8V95B,
"201808190824577617810","2953541520002","5368",US,2,2018-08-19 08:27:31,ordervalidate,TK8V95B,
"201808241347592323340","5079920120002","5854",US,1,2018-08-24 13:47:59,ECOM,,
"201808241333272798870","8194832320004","4469",US,1,2018-08-24 13:33:27,ECOM,,
"201808241426041770750","2178310020009","4217",US,1,2018-08-24 14:26:04,ECOM,,
"201808241355357420700","2026060620007","3295",US,1,2018-08-24 13:55:35,ECOM,,
"201808241427329135040","2074971724000","5332",US,1,2018-08-24 14:27:32,ECOM,,
"201808241507145202760","4378080520002","6495",US,1,2018-08-24 15:07:14,ECOM,,
"201808241522495790980","3404450020000","5546",US,1,2018-08-24 15:22:49,ECOM,,
